baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000020173.17	704.985315876556	-2.18485899622651	0.122048042669988	-17.9016307712059	1.1451891798491e-71	1.50895086391964e-69
ENSMUSG00000021895.10	527.850645719192	-2.53548758015651	0.141783145587997	-17.8828560308875	1.60405522275757e-71	2.10019559450544e-69
ENSMUSG00000073722.3	562.589176569115	-8.25880455543608	0.462068775756697	-17.8735395870695	1.89574908904439e-71	2.46650071729946e-69
ENSMUSG00000026981.15	4900.71690005775	1.67999016931551	0.0940088471457704	17.8705538927683	1.99998675008826e-71	2.58585786869223e-69
ENSMUSG00000042306.11	674.286552526765	-8.66030219169486	0.486266341838693	-17.8097915618591	5.93303502553845e-71	7.6233972405785e-69
ENSMUSG00000011179.8	2561.67896993125	-1.53332869458705	0.0861040388119468	-17.8078603018364	6.14130423060018e-71	7.84229386533493e-69
ENSMUSG00000000889.8	230.113871977143	-5.19120427028618	0.292591789089205	-17.7421392666063	1.98241892078653e-70	2.51596933830129e-68
ENSMUSG00000026249.10	14421.8232611962	1.90637357508938	0.107544637120416	17.7263471813555	2.62547903190544e-70	3.31178565445292e-68
ENSMUSG00000030091.17	509.795822157177	-8.11867370993411	0.458114592480889	-17.7219277516745	2.84010700541878e-70	3.56080567400595e-68
ENSMUSG00000002228.7	239.427164748976	-3.85878161922271	0.218324993120684	-17.6744840985277	6.5940856164261e-70	8.21758127391607e-68
ENSMUSG00000025357.8	848.94281153024	-2.07371311092104	0.117671998099101	-17.6228256885262	1.64575300490068e-69	2.0386642163102e-67
ENSMUSG00000044641.7	280.87841450366	-3.02680492930149	0.17185728635631	-17.6123165533176	1.98166262376007e-69	2.44015801772169e-67
ENSMUSG00000044393.15	315.970620374672	-6.97244575159649	0.398035554752852	-17.5171430500117	1.06017274881632e-68	1.29773926951261e-66
ENSMUSG00000018411.17	222.618517036054	-5.18102198216011	0.296360990033756	-17.4821321172195	1.96030154280347e-68	2.3854563538809e-66
